Week Ending,County,UI Claims,PUA Claims
05/16/2020,Alameda,14391,4383
05/16/2020,Contra Costa,9783,3060
05/16/2020,Marin,2052,866
05/16/2020,Napa,1092,314
05/16/2020,San Francisco,7869,2519
05/16/2020,San Mateo,5593,1615
05/16/2020,Santa Clara,13986,3916
05/16/2020,Solano,3732,1092
05/16/2020,Sonoma,3969,1348
05/23/2020,Alameda,11733,3639
05/23/2020,Contra Costa,7484,2343
05/23/2020,Marin,1505,622
05/23/2020,Napa,778,224
05/23/2020,San Francisco,6037,1924
05/23/2020,San Mateo,4499,1252
05/23/2020,Santa Clara,11173,3091
05/23/2020,Solano,3069,891
05/23/2020,Sonoma,3153,1010
05/30/2020,Alameda,12254,2814
05/30/2020,Contra Costa,8022,1961
05/30/2020,Marin,1553,466
05/30/2020,Napa,922,166
05/30/2020,San Francisco,6186,1505
05/30/2020,San Mateo,4850,1038
05/30/2020,Santa Clara,12130,2525
05/30/2020,Solano,3305,694
05/30/2020,Sonoma,3307,762
06/06/2020,Alameda,12811,2682
06/06/2020,Contra Costa,8765,1923
06/06/2020,Marin,1573,435
06/06/2020,Napa,979,171
06/06/2020,San Francisco,6689,1464
06/06/2020,San Mateo,5068,970
06/06/2020,Santa Clara,12307,2284
06/06/2020,Solano,3537,732
06/06/2020,Sonoma,3616,762
06/13/2020,Alameda,12082,2526
06/13/2020,Contra Costa,8392,1902
06/13/2020,Marin,1489,404
06/13/2020,Napa,981,163
06/13/2020,San Francisco,6134,1264
06/13/2020,San Mateo,4689,891
06/13/2020,Santa Clara,11897,2077
06/13/2020,Solano,3433,722
06/13/2020,Sonoma,3310,683
06/20/2020,Alameda,13172,2851
06/20/2020,Contra Costa,9315,2225
06/20/2020,Marin,1598,401
06/20/2020,Napa,955,161
06/20/2020,San Francisco,6694,1491
06/20/2020,San Mateo,4752,816
06/20/2020,Santa Clara,12513,2333
06/20/2020,Solano,4038,876
06/20/2020,Sonoma,3695,801
06/27/2020,Alameda,13223,3110
06/27/2020,Contra Costa,9363,2371
06/27/2020,Marin,1609,422
06/27/2020,Napa,1032,165
06/27/2020,San Francisco,6832,1629
06/27/2020,San Mateo,4870,851
06/27/2020,Santa Clara,12873,2307
06/27/2020,Solano,4262,1020
06/27/2020,Sonoma,3663,828
07/04/2020,Alameda,12444,3130
07/04/2020,Contra Costa,8836,2288
07/04/2020,Marin,1471,369
07/04/2020,Napa,904,134
07/04/2020,San Francisco,6260,1430
07/04/2020,San Mateo,4437,795
07/04/2020,Santa Clara,11154,2007
07/04/2020,Solano,4113,1060
07/04/2020,Sonoma,3350,708
07/11/2020,Alameda,13985,3742
07/11/2020,Contra Costa,9740,2795
07/11/2020,Marin,1501,392
07/11/2020,Napa,1178,177
07/11/2020,San Francisco,6935,1733
07/11/2020,San Mateo,4555,778
07/11/2020,Santa Clara,11931,2224
07/11/2020,Solano,4677,1237
07/11/2020,Sonoma,3824,854
07/18/2020,Alameda,13966,4297
